Fecha,Precios,Volumen
2013-08-28 00:00:00.000,123.02,0.0
2013-08-29 00:00:00.000,123.44,0.0
2013-08-30 00:00:00.000,129.2,0.0
2013-08-31 00:00:00.000,137.76,0.0
2013-09-01 00:00:00.000,138.17,0.0
2013-09-02 00:00:00.000,137.17,0.0
2013-09-03 00:00:00.000,137.51,0.0
2013-09-04 00:00:00.000,135.21,0.0
2013-09-05 00:00:00.000,129.96,0.0
2013-09-06 00:00:00.000,126.13,0.0
2013-09-07 00:00:00.000,123.73,0.0
2013-09-08 00:00:00.000,121.77,0.0
2013-09-09 00:00:00.000,126.4,0.0
2013-09-10 00:00:00.000,127.78,0.0
2013-09-11 00:00:00.000,131.65,0.0
2013-09-12 00:00:00.000,134.22,0.0
2013-09-13 00:00:00.000,135.05,0.0
2013-09-14 00:00:00.000,131.39,0.0
2013-09-15 00:00:00.000,129.95,0.0
2013-09-16 00:00:00.000,131.48,0.0
2013-09-17 00:00:00.000,131.31,0.0
2013-09-18 00:00:00.000,132.06,0.0
2013-09-19 00:00:00.000,130.23,0.0
2013-09-20 00:00:00.000,128.57,0.0
2013-09-21 00:00:00.000,126.78,0.0
2013-09-22 00:00:00.000,128.37,0.0
2013-09-23 00:00:00.000,126.73,0.0
2013-09-24 00:00:00.000,126.09,0.0
2013-09-25 00:00:00.000,127.99,0.0
2013-09-26 00:00:00.000,128.02,0.0
2013-09-27 00:00:00.000,131.84,0.0
2013-09-28 00:00:00.000,133.93,0.0
2013-09-29 00:00:00.000,140.28,0.0
2013-09-30 00:00:00.000,131.65,0.0
2013-10-01 00:00:00.000,132.55,0.0
2013-10-02 00:00:00.000,132.04,0.0
2013-10-03 00:00:00.000,123.07,0.0
2013-10-04 00:00:00.000,128.26,0.0
2013-10-05 00:00:00.000,129.57,0.0
2013-10-06 00:00:00.000,127.56,0.0
2013-10-07 00:00:00.000,128.38,0.0
2013-10-08 00:00:00.000,125.72,0.0
2013-10-09 00:00:00.000,130.9,0.0
2013-10-10 00:00:00.000,129.68,0.0
2013-10-11 00:00:00.000,130.27,0.0
2013-10-12 00:00:00.000,135.35,0.0
2013-10-13 00:00:00.000,135.48,0.0
2013-10-14 00:00:00.000,140.48,0.0
2013-10-15 00:00:00.000,143.89,0.0
2013-10-16 00:00:00.000,143.61,0.0
2013-10-17 00:00:00.000,146.15,0.0
2013-10-18 00:00:00.000,151.34,0.0
2013-10-19 00:00:00.000,170.51,0.0
2013-10-20 00:00:00.000,172.01,0.0
2013-10-21 00:00:00.000,181.41,0.0
2013-10-22 00:00:00.000,193.45,0.0
2013-10-23 00:00:00.000,206.78,0.0
2013-10-24 00:00:00.000,198.8,0.0
2013-10-25 00:00:00.000,172.48,0.0
2013-10-26 00:00:00.000,178.96,0.0
2013-10-27 00:00:00.000,189.83,0.0
2013-10-28 00:00:00.000,198.55,0.0
2013-10-29 00:00:00.000,204.39,0.0
2013-10-30 00:00:00.000,204.2,0.0
2013-10-31 00:00:00.000,203.88,0.0
2013-11-01 00:00:00.000,205.26,0.0
2013-11-02 00:00:00.000,206.89,0.0
2013-11-03 00:00:00.000,212.45,0.0
2013-11-04 00:00:00.000,226.28,0.0
2013-11-05 00:00:00.000,230.63,0.0
2013-11-06 00:00:00.000,260.85,0.0
2013-11-07 00:00:00.000,295.63,0.0
2013-11-08 00:00:00.000,332.02,0.0
2013-11-09 00:00:00.000,358.0,0.0
2013-11-10 00:00:00.000,313.0,0.0
2013-11-11 00:00:00.000,340.55,0.0
2013-11-12 00:00:00.000,355.48,0.0
2013-11-13 00:00:00.000,404.17,0.0
2013-11-14 00:00:00.000,408.84,0.0
2013-11-15 00:00:00.000,424.16,0.0
2013-11-16 00:00:00.000,437.41,0.0
2013-11-17 00:00:00.000,488.36,0.0
2013-11-18 00:00:00.000,580.87,0.0
2013-11-19 00:00:00.000,614.4,0.0
2013-11-20 00:00:00.000,565.34,0.0
2013-11-21 00:00:00.000,675.06,0.0
2013-11-22 00:00:00.000,731.15,0.0
2013-11-23 00:00:00.000,819.31,0.0
2013-11-24 00:00:00.000,764.43,0.0
2013-11-25 00:00:00.000,793.07,0.0
2013-11-26 00:00:00.000,832.93,0.0
2013-11-27 00:00:00.000,914.13,0.0
2013-11-28 00:00:00.000,979.08,0.0
2013-11-29 00:00:00.000,1101.83,0.0
2013-11-30 00:00:00.000,1127.45,0.0
2013-12-01 00:00:00.000,1033.39,0.0
2013-12-02 00:00:00.000,974.03,0.0
2013-12-03 00:00:00.000,1078.64,0.0
2013-12-04 00:00:00.000,1121.48,0.0
2013-12-05 00:00:00.000,989.04,0.0
2013-12-06 00:00:00.000,1019.66,0.0
2013-12-07 00:00:00.000,811.98,0.0
2013-12-08 00:00:00.000,743.11,0.0
2013-12-09 00:00:00.000,897.89,0.0
2013-12-10 00:00:00.000,927.78,0.0
2013-12-11 00:00:00.000,887.08,0.0
2013-12-12 00:00:00.000,878.17,0.0
2013-12-13 00:00:00.000,897.27,0.0
2013-12-14 00:00:00.000,866.99,0.0
2013-12-15 00:00:00.000,854.62,0.0
2013-12-16 00:00:00.000,789.15,0.0
2013-12-17 00:00:00.000,691.65,0.0
2013-12-18 00:00:00.000,559.36,0.0
2013-12-19 00:00:00.000,677.84,0.0
2013-12-20 00:00:00.000,694.25,0.0
2013-12-21 00:00:00.000,596.12,0.0
2013-12-22 00:00:00.000,650.27,0.0
2013-12-23 00:00:00.000,645.75,0.0
2013-12-24 00:00:00.000,659.94,0.0
2013-12-25 00:00:00.000,668.74,0.0
2013-12-26 00:00:00.000,734.59,0.0
2013-12-27 00:00:00.000,734.27,62881800.0
2013-12-28 00:00:00.000,738.81,28121600.0
2013-12-29 00:00:00.000,726.47,27018300.0
2013-12-30 00:00:00.000,760.52,24717100.0
2013-12-31 00:00:00.000,755.16,21903500.0
2014-01-01 00:00:00.000,767.74,23448600.0
2014-01-02 00:00:00.000,772.53,16837800.0
2014-01-03 00:00:00.000,825.47,54171500.0
2014-01-04 00:00:00.000,849.14,36344700.0
2014-01-05 00:00:00.000,919.41,62414600.0
2014-01-06 00:00:00.000,936.38,88584600.0
2014-01-07 00:00:00.000,826.5,80268100.0
2014-01-08 00:00:00.000,838.32,78060300.0
2014-01-09 00:00:00.000,853.29,58813600.0
2014-01-10 00:00:00.000,863.3,29763600.0
2014-01-11 00:00:00.000,905.72,48299500.0
2014-01-12 00:00:00.000,867.45,40171100.0
2014-01-13 00:00:00.000,840.96,42950500.0
2014-01-14 00:00:00.000,838.05,23469400.0
2014-01-15 00:00:00.000,860.44,28600400.0
2014-01-16 00:00:00.000,837.98,18719700.0
2014-01-17 00:00:00.000,812.9,39266000.0
2014-01-18 00:00:00.000,840.0,18052700.0
2014-01-19 00:00:00.000,838.17,17574100.0
2014-01-20 00:00:00.000,869.15,25421600.0
2014-01-21 00:00:00.000,869.57,26779700.0
2014-01-22 00:00:00.000,865.03,17879900.0
2014-01-23 00:00:00.000,846.97,18412100.0
2014-01-24 00:00:00.000,808.32,20176000.0
2014-01-25 00:00:00.000,804.39,31742800.0
2014-01-26 00:00:00.000,853.51,22676800.0
2014-01-27 00:00:00.000,891.86,32539200.0
2014-01-28 00:00:00.000,777.0,61878700.0
2014-01-29 00:00:00.000,816.85,33409200.0
2014-01-30 00:00:00.000,817.17,16261700.0
2014-01-31 00:00:00.000,817.93,31107400.0
2014-02-01 00:00:00.000,832.52,14722200.0
2014-02-02 00:00:00.000,836.41,19347600.0
2014-02-03 00:00:00.000,813.38,12759200.0
2014-02-04 00:00:00.000,832.36,14823400.0
2014-02-05 00:00:00.000,830.92,15706200.0
2014-02-06 00:00:00.000,805.08,47441900.0
2014-02-07 00:00:00.000,721.32,65733100.0
2014-02-08 00:00:00.000,701.61,86940400.0
2014-02-09 00:00:00.000,672.07,34864400.0
2014-02-10 00:00:00.000,689.65,38527400.0
2014-02-11 00:00:00.000,697.76,121884000.0
2014-02-12 00:00:00.000,655.26,65970400.0
2014-02-13 00:00:00.000,651.91,19109100.0
2014-02-14 00:00:00.000,623.57,90917600.0
2014-02-15 00:00:00.000,644.1,57350800.0
2014-02-16 00:00:00.000,613.85,24104900.0
2014-02-17 00:00:00.000,645.14,48516100.0
2014-02-18 00:00:00.000,625.01,22066400.0
2014-02-19 00:00:00.000,620.99,13276100.0
2014-02-20 00:00:00.000,593.89,35743400.0
2014-02-21 00:00:00.000,582.75,56059000.0
2014-02-22 00:00:00.000,571.06,21675800.0
2014-02-23 00:00:00.000,622.97,44590700.0
2014-02-24 00:00:00.000,572.39,47229500.0
2014-02-25 00:00:00.000,489.31,111102000.0
2014-02-26 00:00:00.000,567.25,75039300.0
2014-02-27 00:00:00.000,586.28,38219000.0
2014-02-28 00:00:00.000,567.2,24649000.0
2014-03-01 00:00:00.000,560.11,22903800.0
2014-03-02 00:00:00.000,561.35,11143900.0
2014-03-03 00:00:00.000,585.79,33049800.0
2014-03-04 00:00:00.000,675.0,86124600.0
2014-03-05 00:00:00.000,658.24,26946700.0
2014-03-06 00:00:00.000,654.55,16659800.0
2014-03-07 00:00:00.000,617.62,29823000.0
2014-03-08 00:00:00.000,610.37,21353000.0
2014-03-09 00:00:00.000,636.17,15489000.0
2014-03-10 00:00:00.000,621.17,16425700.0
2014-03-11 00:00:00.000,624.23,12542300.0
2014-03-12 00:00:00.000,638.07,20806300.0
2014-03-13 00:00:00.000,639.03,12866600.0
2014-03-14 00:00:00.000,629.67,11939800.0
2014-03-15 00:00:00.000,638.07,5963930.0
2014-03-16 00:00:00.000,629.55,4834240.0
2014-03-17 00:00:00.000,623.705,13371500.0
2014-03-18 00:00:00.000,612.622,23217800.0
2014-03-19 00:00:00.000,610.636,15227500.0
2014-03-20 00:00:00.000,592.07,20048500.0
2014-03-21 00:00:00.000,582.303,38053400.0
2014-03-22 00:00:00.000,561.22,17983700.0
2014-03-23 00:00:00.000,567.779,10283000.0
2014-03-24 00:00:00.000,571.418,17185800.0
2014-03-25 00:00:00.000,582.55,18634700.0
2014-03-26 00:00:00.000,584.442,17583200.0
2014-03-27 00:00:00.000,567.64,22316700.0
2014-03-28 00:00:00.000,503.661,79571600.0
2014-03-29 00:00:00.000,502.302,26810900.0
2014-03-30 00:00:00.000,469.938,17867800.0
2014-03-31 00:00:00.000,457.399,56838500.0
2014-04-01 00:00:00.000,478.7163,35685800.0
2014-04-02 00:00:00.000,437.515,49647600.0
2014-04-03 00:00:00.000,447.0822,40765500.0
2014-04-04 00:00:00.000,448.8792,22925500.0
2014-04-05 00:00:00.000,464.8259,13404500.0
2014-04-06 00:00:00.000,460.7028,10241400.0
2014-04-07 00:00:00.000,457.792,9802770.0
2014-04-08 00:00:00.000,450.4638,10921600.0
2014-04-09 00:00:00.000,440.1983,13204400.0
2014-04-10 00:00:00.000,360.8407,55868300.0
2014-04-11 00:00:00.000,420.0563,62562800.0
2014-04-12 00:00:00.000,420.66,19226500.0
2014-04-13 00:00:00.000,414.9495,22493500.0
2014-04-14 00:00:00.000,457.6338,50730200.0
2014-04-15 00:00:00.000,520.1233,49561000.0
2014-04-16 00:00:00.000,529.1625,56480100.0
2014-04-17 00:00:00.000,494.4,34025500.0
2014-04-18 00:00:00.000,478.2312,19042400.0
2014-04-19 00:00:00.000,501.5515,19588200.0
